,20-100 Hz,100-200 Hz,200-300 Hz,300-400 Hz,400-500 Hz,500-600 Hz,600-700 Hz,700-800 Hz,800-900 Hz,900-1000 Hz,1000-1100 Hz,1100-1200 Hz,1200-1300 Hz,1300-1400 Hz,1400-1500 Hz,1500-1600 Hz,1600-1700 Hz,1700-1800 Hz,1800-1900 Hz,1900-2000 Hz,Palabra
0,21578.367895248666,22409.551648250737,18112.91974973627,28603.23195589129,13080.092643447482,10473.303907534046,6083.036090944661,10359.050283164474,27656.400102161024,25415.036505068456,9580.844125509506,5595.537619688177,10676.279651779028,8689.061100352905,11969.759751341748,7054.31173566384,13540.46477193905,4450.4430155941445,4511.67184702031,3714.012728273262,vanessa/arriba
1,15695.352292694995,17243.63934430237,11274.396763831954,25154.968110866317,8488.490777700728,12301.705030232068,7987.8226283955855,11126.552602682576,7602.657010489102,29867.211747431138,9238.698739358488,13728.620499123146,7644.725353241741,7297.024768366635,8260.165475729675,5892.571260066475,3698.164878408267,2668.545110069859,5422.220598033838,5711.215355852505,vanessa/arriba
2,11966.18995513034,13305.165281663601,20765.90135658022,16102.635712428477,23065.51345431773,7442.484929819753,7477.878437722618,6349.323283629363,16699.047245016103,9374.810839580789,15379.918974782822,4230.822966469339,10163.957735604796,5314.755990019299,7748.7615230108095,4314.998102470738,3927.613001258725,1406.0201749435596,3571.821880072792,4372.672999536071,vanessa/arriba
3,17578.34616909673,22216.793530402403,33520.81020679011,19415.37906062392,38271.835412599045,12720.104132674387,6628.251703557557,21532.58082215564,9442.725343599464,19950.42762124168,7970.309765810189,11100.786738710645,6507.231962456484,6550.021945875464,5098.559198182948,5126.189372034544,3416.2864934298195,3091.753692573858,4544.586128299368,9635.291163890595,vanessa/arriba
4,26654.23850364313,27949.71507514606,39150.84834552052,20762.900781703924,40549.235975600626,19864.076585264283,14027.583462746292,15211.090852657851,11394.211115243157,19496.02167375665,11124.716536720784,10177.149489450436,8773.869335297537,11061.582981169573,12294.260745660526,5810.438299042558,3473.470570662327,2639.279999252525,4798.803311494467,7090.6048880596,vanessa/arriba
5,21297.204449396548,15665.919045698627,44676.640053221054,12898.040954645183,34863.645983637434,10064.593135501313,12750.560667252901,8770.524316220526,11345.11243365777,9355.253110161346,9098.503729619388,6607.083253951646,5645.922216445315,6398.2168453895665,5340.508013443031,5217.015709039861,2375.369694321473,2046.0044190416074,4536.553081900978,6385.044750649612,vanessa/arriba
6,25421.51707274982,21998.45435046856,14802.259492653691,24833.16093458141,10233.63922892702,9744.64817040614,3560.640956755767,12246.225820003488,6405.3280775627845,27624.888787642943,4953.030381443823,8869.422230684097,3657.8772861278267,4003.9240178382397,3057.020431257515,3581.960877247845,2849.8331630887023,4750.710520278181,7654.531060117545,14629.887359470358,vanessa/arriba
7,25894.60870272841,17263.854316085482,39315.59331132416,12371.919378249244,41678.35650110184,13143.93297560557,23379.38975005135,9175.897313515641,16902.048865209417,15765.337926547541,21020.59828699836,11797.011284308628,12112.364045941424,11070.864307942256,9246.891973104615,8903.905416632419,3669.739454583479,2591.0109039481313,4754.569271118192,10624.400049548249,vanessa/arriba
8,16866.859274958584,11168.569672645293,38586.21600376817,5215.152115690866,29704.90206744541,3571.751124434109,8207.334840523841,4970.307445871975,14606.464784936587,11215.185748229485,19452.34811765636,5717.829608343949,7915.068540479589,4197.88989944529,6388.742174687967,4765.644499392826,2304.220732329128,1526.007611852196,5210.667882152389,3947.039105165432,vanessa/arriba
9,15551.431862477959,22356.53331681033,19341.63343690476,20762.134090275817,12941.707291259005,9185.011900526742,3335.3013915771025,9865.111037203722,8126.054363567335,22112.681824282616,10196.953242375032,13527.671375695269,7093.05566800468,5672.303973664479,3769.2299655034026,3511.348451954139,2432.44595818263,4086.4929275116197,11268.597591562459,5840.432998069702,vanessa/arriba
10,25962.2536748004,18346.074852715785,42607.7607599284,9635.950601504477,36980.20992873576,7457.23814241845,11624.98455648668,7452.703246279054,24787.275841195747,14053.649728700657,11842.46992569644,12512.052958822926,6928.581559795498,11798.668534489614,5163.228436986306,5935.5209006584655,2612.869813188935,7395.504872795074,7966.948255544594,9033.55403422552,vanessa/arriba
11,31254.88746786116,20519.76326640915,45934.51387714994,14485.272246541623,42055.93045104556,12864.77131315972,12775.869732023028,14068.429879006268,7393.311481374614,19076.93962371104,7732.1141853489125,11218.95809363053,6106.281608433233,7786.617599767399,6965.548538340361,6504.052793419173,3159.2388665427147,3921.9767307626976,11595.033096702593,7754.524721301062,vanessa/arriba
12,27266.101655906226,20153.42073754197,46144.91600046005,14373.81657725814,26964.531796216652,15411.284040802282,12257.333681487202,11580.944393774449,19426.448696783955,13636.331396291576,19683.33408339494,13454.972498760795,7217.425924984754,9473.81114798827,7073.3852356665075,5780.029489059196,4482.9383000556545,4047.634213318457,11457.64390575407,10102.35645951828,vanessa/arriba
13,28961.235732492954,19389.534259071774,48334.34880940736,10094.456052659274,43170.76281555609,11812.277719364787,13816.823314612431,16695.955025713836,8993.492252924469,20119.091582259352,9128.697864061844,9794.689615936617,8244.169108184917,6339.836217016775,5493.195773756761,3283.279436569328,2100.7714078340427,3785.859862292029,4063.079473263868,5883.856544102441,vanessa/arriba
14,27083.741278328624,18345.35429751189,46719.287054347566,11141.763398024754,36915.67625227642,9384.73280741872,13233.839458496786,12365.746808808808,22280.916510275092,19047.99249643074,15692.960049353642,13074.846719494684,9340.157761854494,10805.498503224582,9062.752917515207,5256.398005512478,2667.04561109448,7720.585063292671,10635.4472436357,14631.755177027173,vanessa/arriba
15,17549.05654830743,23977.96636429062,38008.29297369589,18487.263313946787,31991.73124424344,11938.457252016502,10530.296784077602,9395.993325084159,17759.058096202818,20033.653274788478,10255.62330188701,8994.509535645375,8506.108500769742,9229.52335740678,7410.206632522951,6445.471102025913,4314.302736939229,7793.869296132194,10930.116975324852,13107.780701499772,vanessa/arriba
16,23362.108115071358,21691.69472500046,32945.88910600233,16040.102035862366,34831.29947628826,14388.776274889839,8157.801815266691,16806.172319006757,9513.083992690501,29342.321860376956,8602.618874593936,13021.492502984021,4251.421158909021,8649.199527187498,3779.179949339215,6647.377780874993,1888.3786255528798,3344.779692803704,5673.783651215861,4860.381399523175,vanessa/arriba
17,22547.022752131445,13360.155329280513,59299.312282030965,7750.493790602156,40262.397121941714,8381.105382552601,30604.093623420365,5378.802635712353,18075.620530308952,14219.128550683257,12959.396083581909,8366.250818807517,14680.62137578578,8248.122668207188,14228.362458604937,8108.812395904929,7494.593827945385,1509.8884546293855,4159.982419171533,6256.330905664338,vanessa/arriba
18,13841.163659945314,10325.366984139755,18967.520357454374,8958.320021404892,15846.807099996397,8899.524015943834,5429.844675277754,6559.314491570576,6694.264252169285,28227.367543470253,5999.444041708935,8836.63237568035,4207.220265340839,9272.351652784004,4589.993401643587,7395.607900700243,2601.0654831789348,1452.655753278159,3849.408722335873,9572.489965430928,vanessa/arriba
19,19024.664016902072,21545.082628932218,17568.337493964755,22297.699905348843,7396.053692534749,9976.357385007159,4893.297937713089,8754.485371802617,5462.761747104292,29220.551335915767,17603.31533142512,13600.069745046121,8170.295846411214,10212.314246111204,6377.819227237429,7233.312795874893,3808.1250732449153,2257.828426797516,4638.687112445673,10750.058109830365,vanessa/arriba
20,22844.785214549986,19964.195889421408,42730.00472920411,17355.77456415441,30414.954880550016,15018.936469632688,7592.943316118451,14847.32188700968,16601.570728611783,27577.230208928682,17799.825800679326,11892.164065468312,8667.56945770655,11414.576893700207,10588.02653234204,8061.6318954079825,3838.9794423931135,2355.505218073125,5268.524667323764,9426.199102007497,vanessa/arriba
21,21999.235596394694,26685.170946015547,20400.22676495909,26835.976532737448,16936.420102839285,14911.564385858092,11050.893926099121,9574.564645605236,20806.09362269243,9546.26312573619,8070.332163031658,6188.767815318083,6447.593768694206,8640.824413315639,5394.883682962085,4025.94127971623,1401.776054980166,2852.089142563641,6467.420765861352,6840.51204035511,vanessa/arriba
22,45414.987416617296,51670.906577522386,36244.252195903886,73268.920809541,31335.90453072308,41603.13345231101,22032.207666674312,25896.65703349689,21877.812540765448,46264.449919070634,15318.132728044904,14664.199949640784,6682.233921824474,7516.176371126166,7262.778355986146,19433.93667766492,19423.789817131317,21108.524929147792,29379.450083648764,22340.090822991733,vanessa/arriba
23,51220.24346810123,56259.98669080752,29942.69853675824,69351.3229511473,29493.444199413192,38537.619305136315,19696.986753350626,26920.038619193023,15731.886466131291,34103.89164315784,10144.811279222891,11731.982591407683,8457.642501312792,8772.66667261932,11914.843016770828,14990.293145745292,24221.33470039917,17773.83680148168,31998.577360243482,12855.165031715036,vanessa/arriba
24,55687.88328390868,42428.260153600924,29756.81210754811,59235.945905081884,24974.082104461333,37614.716493846405,17985.701481322212,20839.63852794481,13229.41713646455,31951.838698950094,11916.412654402886,10500.010885575271,8775.356447180782,7204.1469881479725,7527.34317645508,13611.925827401885,29157.999461174386,25810.18334447492,18214.808859507626,6178.552113860417,vanessa/arriba
25,53608.36857175702,57640.58959481197,61617.7299274595,35501.81139459303,74345.60640027435,46606.21722937217,86865.13904577798,19529.546174358202,18266.265818640662,21652.776927393246,19088.082360150736,14736.121063940971,16156.483298784173,15934.80615535906,28052.282148744463,18542.20660544329,20015.964031088297,11364.727433938562,16912.520569997014,8841.902469846962,vanessa/arriba
26,51189.555910272014,58489.3222238007,68558.20399655863,37433.36518886215,70664.53610280534,37878.22331426597,44170.593586675925,20678.529264051722,14994.787543691687,22492.882972542007,27076.33328371232,13954.686966460395,19185.62057898572,10055.58566827364,27597.00225302125,14862.532298506987,20697.39770089864,21517.75200940205,31343.553126017505,8843.542764913704,vanessa/arriba
